38.550420,27.961212
38.540476,27.886024
38.539089,27.913180
38.543576,27.987559
38.541095,27.985769
38.557673,28.026542
38.554274,28.030901
38.540925,28.031700
38.541016,27.986215
38.536520,28.061602
38.552229,28.066049
38.544766,28.081330
38.564841,28.090830
38.556196,28.095395
38.603429,28.107553
38.565461,28.133738
38.602860,28.108104
38.583911,28.093691
38.570229,28.065373
38.559205,28.041830
38.550784,28.006899
38.549511,28.122006
38.511585,28.082082
38.558696,27.871339
38.566340,27.997484
38.552249,27.993335
38.545657,27.990951
38.542818,27.987532
38.540715,27.981106
38.535875,27.984510
38.531875,27.986689
38.535360,28.000526
38.517527,28.001667
38.492899,28.045326
38.490375,28.050507
38.485099,28.054818
38.568775,28.122487
38.579010,28.132671
38.523809,28.164268
38.520688,28.168261
38.511175,27.907116
38.541995,27.899958
38.511921,27.967879
38.486682,27.976106
38.506688,28.014925
38.522673,28.061792
38.544118,28.049251
38.569270,28.056621
38.586186,28.088334
38.614955,28.088769
38.618759,28.035233
38.617174,27.971346
38.592450,27.980315
38.607152,27.927111
38.605970,28.136417
